PARAMETERS
Parameter,Name in code,Value,Units
Delta t,delta_t,0.01,tau_l units
Initial number of bacteria,Nb0,1000,-
Initial concentration of bacteria,B,1000000.0,cells/ml
Initial concentration of phage,P,100000.0,cells/ml
Maximum number of timer molecules,N,60,-
Production rate of timer molecules,k,6.0,cells/min·ml
Number of dead timer molecules when superinfected,nd,30,-
Adsorption rate of phage to bacteria,nu,5e-10,cells/min·ml
Initial concentration of nutrients,n0,10000000.0,nutrient/ml


ADDITIONAL DATA FROM SIMULATION
Magnitude,Value,Unit
Duration,39.184831619262695,s
Volume of the system,0.001,ml
Number of iterations,10000,-


DATA FROM SIMULATION
Time (hours),Number of phage,Number of bacteria,Number of nutrients
---
0.0,100.0,1000.0,10000.0
0.00038333333333333334,100.0,1000.0,9999.399999999992
0.0007666666666666667,100.0,1000.0,9998.799999999985
0.0011500000000000002,100.0,1000.0,9998.266666666645
0.0015333333333333334,100.0,1000.0,9997.533333333302
0.001916666666666667,100.0,1000.0,9996.599999999957
0.0023000000000000004,100.0,1000.0,9995.933333333282
0.002683333333333334,100.0,1000.0,9994.933333333269
0.0030666666666666668,100.0,1000.0,9994.066666666591
0.00345,100.0,1000.0,9993.599999999919
0.0038333333333333336,100.0,1001.0,9992.866666666576
0.004216666666666666,100.0,1001.0,9992.333333333236
0.004599999999999999,100.0,1001.0,9991.533333333226
0.004983333333333332,100.0,1001.0,9991.13333333322
0.005366666666666666,100.0,1001.0,9990.466666666545
0.00575,100.0,1001.0,9989.666666666535
0.0061333333333333335,100.0,1001.0,9989.199999999862
0.006516666666666667,100.0,1001.0,9988.599999999855
0.006900000000000001,100.0,1001.0,9987.733333333177
0.007283333333333334,100.0,1001.0,9987.066666666502
0.007666666666666668,100.0,1001.0,9986.33333333316
0.008050000000000002,100.0,1001.0,9985.53333333315
0.008433333333333336,100.0,1001.0,9985.133333333144
0.008816666666666669,100.0,1001.0,9984.399999999801
0.009200000000000003,100.0,1001.0,9983.333333333121
0.009583333333333336,100.0,1001.0,9982.599999999778
0.00996666666666667,100.0,1001.0,9982.133333333106
0.010350000000000003,100.0,1001.0,9981.933333333103
0.010733333333333338,100.0,1002.0,9981.599999999766
0.01111666666666667,100.0,1002.0,9980.799999999756
0.011500000000000005,100.0,1002.0,9980.333333333083
0.011883333333333338,100.0,1002.0,9979.799999999743
0.012266666666666672,100.0,1004.0,9978.999999999733
0.012650000000000005,100.0,1004.0,9978.733333333063
0.01303333333333334,100.0,1004.0,9978.199999999722
0.013416666666666672,100.0,1004.0,9977.333333333045
0.013800000000000007,100.0,1005.0,9976.599999999702
0.014183333333333341,100.0,1005.0,9976.066666666362
0.014566666666666674,100.0,1006.0,9975.799999999692
0.014950000000000008,100.0,1007.0,9975.133333333017
0.015333333333333341,100.0,1007.0,9974.399999999674
0.015716666666666674,100.0,1008.0,9973.733333332999
0.01610000000000001,100.0,1009.0,9973.399999999661
0.016483333333333343,100.0,1009.0,9972.399999999649
0.01686666666666668,100.0,1009.0,9971.599999999638
0.01725000000000001,100.0,1009.0,9971.199999999633
0.017633333333333345,100.0,1009.0,9970.73333333296
0.018016666666666677,100.0,1010.0,9969.999999999618
0.018400000000000014,100.0,1011.0,9968.999999999605
0.018783333333333343,100.0,1011.0,9968.33333333293
0.019166666666666676,100.0,1011.0,9967.733333332922
0.01955000000000001,100.0,1011.0,9966.99999999958
0.019933333333333345,100.0,1011.0,9966.399999999572
0.020316666666666674,100.0,1011.0,9965.9333333329
0.02070000000000001,100.0,1012.0,9965.466666666227
0.021083333333333343,100.0,1012.0,9964.933333332887
0.02146666666666668,100.0,1012.0,9964.06666666621
0.021850000000000012,100.0,1012.0,9963.399999999534
0.022233333333333345,100.0,1012.0,9962.999999999529
0.022616666666666677,100.0,1013.0,9962.666666666191
0.023000000000000013,100.0,1013.0,9962.199999999519
0.023383333333333346,100.0,1013.0,9961.466666666176
0.02376666666666668,100.0,1014.0,9960.999999999503
0.024150000000000015,100.0,1015.0,9960.399999999496
0.02453333333333335,100.0,1015.0,9959.666666666153
0.024916666666666684,100.0,1016.0,9959.066666666145
0.02530000000000002,100.0,1016.0,9958.266666666135
0.02568333333333335,100.0,1016.0,9957.666666666128
0.026066666666666686,100.0,1017.0,9957.199999999455
0.02645000000000002,100.0,1017.0,9956.133333332775
0.026833333333333355,100.0,1017.0,9955.73333333277
0.027216666666666684,100.0,1018.0,9955.133333332762
0.02760000000000002,100.0,1019.0,9954.533333332754
0.027983333333333353,100.0,1020.0,9953.999999999414
0.02836666666666669,100.0,1020.0,9953.533333332742
0.02875000000000002,100.0,1020.0,9953.066666666069
0.029133333333333355,100.0,1021.0,9952.399999999394
0.029516666666666688,100.0,1022.0,9951.733333332719
0.029900000000000024,100.0,1023.0,9951.066666666044
0.030283333333333353,100.0,1026.0,9950.133333332698
0.03066666666666669,100.0,1028.0,9949.53333333269
0.031050000000000022,100.0,1028.0,9948.799999999348
0.031433333333333355,100.0,1028.0,9948.133333332673
0.03181666666666669,100.0,1029.0,9947.13333333266
0.03220000000000003,100.0,1031.0,9946.533333332653
0.03258333333333336,100.0,1031.0,9946.266666665982
0.03296666666666669,100.0,1032.0,9945.599999999307
0.033350000000000025,100.0,1034.0,9944.73333333263
0.03373333333333336,100.0,1035.0,9943.999999999287
0.03411666666666669,100.0,1035.0,9943.466666665947
0.034500000000000024,100.0,1035.0,9942.999999999274
0.03488333333333336,100.0,1035.0,9942.333333332599
0.03526666666666669,100.0,1036.0,9941.599999999256
0.03565000000000003,100.0,1038.0,9941.199999999251
0.03603333333333336,100.0,1038.0,9940.799999999246
0.036416666666666694,100.0,1038.0,9940.266666665906
0.03680000000000003,100.0,1039.0,9939.866666665901
0.03718333333333336,100.0,1039.0,9939.133333332558
0.0375666666666667,100.0,1039.0,9938.333333332548
0.03795000000000003,100.0,1039.0,9937.666666665873
0.03833333333333336,100.0,1042.0,9936.999999999198
0.0387166666666667,100.0,1044.0,9936.333333332523
0.03910000000000003,100.0,1044.0,9935.59999999918
0.03948333333333336,100.0,1044.0,9934.933333332505
0.039866666666666696,100.0,1044.0,9934.133333332495
0.04025000000000003,100.0,1045.0,9933.266666665817
