PARAMETERS
Parameter,Name in code,Value,Units
Delta t,delta_t,0.01,tau_l units
Initial number of bacteria,Nb0,1000,-
Initial concentration of bacteria,B,1000000.0,cells/ml
Initial concentration of phage,P,100000000.0,cells/ml
Maximum number of timer molecules,N,60,-
Production rate of timer molecules,k,6.0,cells/min·ml
Number of dead timer molecules when superinfected,nd,30,-
Adsorption rate of phage to bacteria,nu,5e-10,cells/min·ml
Initial concentration of nutrients,n0,1000000.0,nutrient/ml


ADDITIONAL DATA FROM SIMULATION
Magnitude,Value,Unit
Duration,1.5628511905670166,s
Volume of the system,0.001,ml
Number of iterations,50000,-


DATA FROM SIMULATION
Time (hours),Number of phage,Number of healthy bacteria,Number of infected bacteria,Number of dead bacteria,Number of nutrients
---
0.0,100000.0,1000.0,0.0,0.0,1000.0
0.00038333333333333334,100000.0,1000.0,0.0,0.0,999.4814814814819
0.0007666666666666667,99998.0,999.0,2.0,0.0,998.7407407407417
0.0011500000000000002,99998.0,1000.0,2.0,0.0,997.9259259259275
0.0015333333333333334,99997.0,1000.0,3.0,0.0,997.2592592592613
0.001916666666666667,99997.0,1002.0,3.0,0.0,996.148148148151
0.0023000000000000004,99996.0,1001.0,4.0,0.0,995.0370370370407
0.002683333333333334,99995.0,1000.0,5.0,0.0,994.1481481481525
0.0030666666666666668,99993.0,1000.0,7.0,0.0,993.7777777777824
0.00345,99992.0,999.0,8.0,0.0,993.1111111111162
0.0038333333333333336,99991.0,1000.0,9.0,0.0,992.0000000000059
0.004216666666666666,99990.0,1000.0,10.0,0.0,991.2592592592657
0.004599999999999999,99990.0,1000.0,10.0,0.0,990.8888888888956
0.004983333333333332,99988.0,999.0,12.0,0.0,990.0000000000074
0.005366666666666666,99985.0,998.0,15.0,0.0,989.4074074074152
0.00575,99984.0,998.0,16.0,0.0,988.518518518527
0.0061333333333333335,99983.0,999.0,17.0,0.0,987.8518518518608
0.006516666666666667,99983.0,999.0,17.0,0.0,986.9629629629726
0.006900000000000001,99983.0,1000.0,17.0,0.0,986.3703703703804
0.007283333333333334,99983.0,1001.0,17.0,0.0,985.7037037037143
