PARAMETERS
Parameter,Name in code,Value,Units
Delta t,delta_t,0.01,tau_l units
Initial number of bacteria,Nb0,1000,-
Initial concentration of bacteria,B,100000000.0,cells/ml
Initial concentration of phage,P,1000000000.0,cells/ml
Maximum number of timer molecules,N,60,-
Production rate of timer molecules,k,6.0,cells/min·ml
Number of dead timer molecules when superinfected,nd,30,-
Adsorption rate of phage to bacteria,nu,5e-10,cells/min·ml
Initial concentration of nutrients,n0,100000000.0,nutrient/ml
Maximum infections one bacterium can handle,Nimax,20,-
Width of the maximum infection one bacterium can handle,Nimax_std,6.25,-
Time window to track maximum infections,time_window,0.8695652173913043,tau_l units


ADDITIONAL DATA FROM SIMULATION
Magnitude,Value,Unit
Duration,9.057769298553467,s
Volume of the system,1e-05,ml
Number of iterations,50000,-


DATA FROM SIMULATION
Time (hours),Number of phage,Number of healthy bacteria,Number of infected bacteria,Number of dead bacteria,Number of nutrients,Average MOSI,Burst events due to MD,Burst phages due to MD
---
0.0,10000.0,1000.0,0.0,0.0,1000.0000000000001,1.0,0,0.0
0.00038333333333333334,9997.0,997.0,3.0,0.0,999.555555555556,1.0,0,0.0
0.0007666666666666667,9992.0,992.0,8.0,0.0,998.9629629629638,1.0,0,0.0
0.0011500000000000002,9983.0,983.0,17.0,0.0,998.2222222222236,1.0,0,0.0
0.0015333333333333334,9976.0,976.0,24.0,0.0,997.5555555555575,1.0,0,0.0
0.001916666666666667,9972.0,974.0,28.0,0.0,997.1111111111134,1.0,0,0.0
0.0023000000000000004,9969.0,973.0,31.0,0.0,996.2962962962991,1.0,0,0.0
0.002683333333333334,9966.0,970.0,34.0,0.0,995.629629629633,1.0,0,0.0
0.0030666666666666668,9963.0,967.0,37.0,0.0,995.1111111111148,1.0454545454545454,0,0.0
0.00345,9954.0,960.0,44.0,0.0,994.2222222222266,1.0612244897959184,0,0.0
0.0038333333333333336,9948.0,955.0,49.0,0.0,993.4814814814864,1.0576923076923077,0,0.0
0.004216666666666666,9945.0,953.0,52.0,0.0,992.2962962963021,1.0517241379310345,0,0.0
0.004599999999999999,9939.0,947.0,58.0,0.0,991.6296296296359,1.05,0,0.0
0.004983333333333332,9937.0,951.0,60.0,0.0,990.5185185185256,1.0634920634920635,0,0.0
0.005366666666666666,9933.0,951.0,63.0,0.0,989.8518518518595,1.0615384615384615,0,0.0
0.00575,9931.0,950.0,65.0,0.0,988.9629629629712,1.0714285714285714,0,0.0
0.0061333333333333335,9925.0,947.0,70.0,0.0,988.5185185185271,1.0675675675675675,0,0.0
0.006516666666666667,9921.0,946.0,74.0,0.0,987.5555555555649,1.069767441860465,0,0.0
0.006900000000000001,9908.0,935.0,86.0,0.0,987.1851851851948,1.0681818181818181,0,0.0
0.007283333333333334,9906.0,935.0,88.0,0.0,986.5925925926026,1.0736842105263158,0,0.0
0.007666666666666668,9898.0,930.0,95.0,0.0,986.0000000000105,1.0686274509803921,0,0.0
0.008050000000000002,9891.0,924.0,102.0,0.0,985.4814814814923,1.073394495412844,0,0.0
0.008433333333333336,9883.0,920.0,109.0,0.0,984.5925925926041,1.0707964601769913,0,0.0
0.008816666666666669,9879.0,916.0,113.0,0.0,984.074074074086,1.0789473684210527,0,0.0
0.009200000000000003,9877.0,916.0,114.0,0.0,983.3333333333458,1.0756302521008403,0,0.0
