PARAMETERS
Parameter,Name in code,Value,Units
Delta t,delta_t,0.01,tau_l units
Initial number of bacteria,Nb0,1000,-
Initial concentration of bacteria,B,100000000.0,cells/ml
Initial concentration of phage,P,1000000000.0,cells/ml
Maximum number of timer molecules,N,60,-
Production rate of timer molecules,k,6.0,cells/min·ml
Number of dead timer molecules when superinfected,nd,30,-
Adsorption rate of phage to bacteria,nu,5e-10,cells/min·ml
Initial concentration of nutrients,n0,100000000.0,nutrient/ml
Maximum infections one bacterium can handle,Nimax,50,-
Time window to track maximum infections,time_window,0.21739130434782608,tau_l units


ADDITIONAL DATA FROM SIMULATION
Magnitude,Value,Unit
Duration,5.843742370605469,s
Volume of the system,1e-05,ml
Number of iterations,20000,-


DATA FROM SIMULATION
Time (hours),Number of phage,Number of healthy bacteria,Number of infected bacteria,Number of dead bacteria,Number of nutrients,Average MOSI
---
0.0,10000.0,1000.0,0.0,0.0,1000.0000000000001,1.0
0.00038333333333333334,9991.0,991.0,9.0,0.0,999.62962962963,1.0
0.0007666666666666667,9991.0,992.0,9.0,0.0,999.3333333333339,1.0
0.0011500000000000002,9985.0,986.0,15.0,0.0,998.6666666666678,1.0
0.0015333333333333334,9980.0,982.0,20.0,0.0,998.0740740740756,1.0
0.001916666666666667,9974.0,976.0,26.0,0.0,997.4074074074094,1.0
0.0023000000000000004,9969.0,971.0,31.0,0.0,996.8888888888913,1.0
0.002683333333333334,9961.0,965.0,39.0,0.0,996.0740740740771,1.0
0.0030666666666666668,9958.0,963.0,42.0,0.0,995.555555555559,1.0
0.00345,9952.0,958.0,48.0,0.0,995.0370370370408,1.0
0.0038333333333333336,9949.0,956.0,51.0,0.0,994.2222222222266,1.0163934426229508
0.004216666666666666,9938.0,948.0,61.0,0.0,993.7037037037085,1.015625
0.004599999999999999,9935.0,948.0,64.0,0.0,992.4444444444501,1.0138888888888888
0.004983333333333332,9927.0,942.0,72.0,0.0,991.851851851858,1.0133333333333334
0.005366666666666666,9924.0,939.0,75.0,0.0,991.4814814814879,1.0123456790123457
0.00575,9918.0,934.0,81.0,0.0,991.0370370370438,1.0240963855421688
0.0061333333333333335,9915.0,932.0,83.0,0.0,990.4444444444516,1.0465116279069768
0.006516666666666667,9910.0,930.0,86.0,0.0,989.7037037037114,1.0434782608695652
0.006900000000000001,9904.0,927.0,92.0,0.0,988.4444444444531,1.0421052631578946
0.007283333333333334,9901.0,926.0,95.0,0.0,987.6296296296389,1.0408163265306123
0.007666666666666668,9898.0,923.0,98.0,0.0,987.1111111111207,1.0485436893203883
0.008050000000000002,9892.0,918.0,103.0,0.0,986.2962962963065,1.0454545454545454
0.008433333333333336,9885.0,913.0,110.0,0.0,985.5555555555663,1.0434782608695652
0.008816666666666669,9880.0,908.0,115.0,0.0,984.8888888889002,1.0434782608695652
0.009200000000000003,9880.0,909.0,115.0,0.0,984.444444444456,1.0420168067226891
0.009583333333333336,9876.0,907.0,119.0,0.0,983.7037037037159,1.064516129032258
0.00996666666666667,9868.0,902.0,124.0,0.0,983.1111111111237,1.062992125984252
0.010350000000000003,9865.0,899.0,127.0,0.0,982.6666666666796,1.0615384615384615
0.010733333333333338,9862.0,896.0,130.0,0.0,982.2222222222355,1.0692307692307692
0.01111666666666667,9861.0,897.0,130.0,0.0,981.6296296296433,1.0746268656716418
0.011500000000000005,9856.0,894.0,134.0,0.0,980.8148148148291,1.072992700729927
0.011883333333333338,9853.0,891.0,137.0,0.0,980.370370370385,1.0714285714285714
0.012266666666666672,9850.0,890.0,140.0,0.0,979.5555555555708,1.0680272108843538
0.012650000000000005,9843.0,884.0,147.0,0.0,979.0370370370526,1.0718954248366013
0.01303333333333334,9836.0,881.0,153.0,0.0,978.3703703703865,1.0774193548387097
0.013416666666666672,9833.0,879.0,155.0,0.0,977.9259259259424,1.0740740740740742
0.013800000000000007,9826.0,872.0,162.0,0.0,977.3333333333502,1.0903614457831325
0.014183333333333341,9819.0,868.0,166.0,0.0,976.1481481481659,1.0994152046783625
0.014566666666666674,9812.0,863.0,171.0,0.0,975.4074074074257,1.100558659217877
0.014950000000000008,9803.0,855.0,179.0,0.0,974.7407407407595,1.1092896174863387
0.015333333333333341,9797.0,852.0,183.0,0.0,974.2962962963154,1.1063829787234043
0.015716666666666674,9792.0,848.0,188.0,0.0,973.4814814815012,1.1099476439790577
0.01610000000000001,9788.0,847.0,191.0,0.0,972.666666666687,1.1088082901554404
0.016483333333333343,9786.0,846.0,193.0,0.0,972.2962962963169,1.1076923076923078
0.01686666666666668,9784.0,844.0,195.0,0.0,971.9259259259468,1.1071428571428572
0.01725000000000001,9783.0,844.0,196.0,0.0,971.4814814815027,1.1161616161616161
0.017633333333333345,9779.0,842.0,198.0,0.0,971.0370370370586,1.1133004926108374
0.018016666666666677,9774.0,837.0,203.0,0.0,970.7407407407625,1.1274509803921569
0.018400000000000014,9770.0,837.0,204.0,0.0,970.4444444444664,1.1220657276995305
0.018783333333333343,9761.0,828.0,213.0,0.0,969.6296296296522,1.1209302325581396
0.019166666666666676,9759.0,827.0,215.0,0.0,969.03703703706,1.1244239631336406
0.01955000000000001,9756.0,827.0,217.0,0.0,968.1481481481718,1.1238532110091743
0.019933333333333345,9755.0,826.0,218.0,0.0,967.8518518518757,1.1266968325791855
0.020316666666666674,9751.0,826.0,221.0,0.0,966.9629629629875,1.1222707423580787
0.02070000000000001,9743.0,820.0,229.0,0.0,966.0740740740993,1.1196581196581197
0.021083333333333343,9738.0,815.0,234.0,0.0,965.9259259259512,1.1176470588235294
0.02146666666666668,9734.0,811.0,238.0,0.0,965.259259259285,1.116182572614108
0.021850000000000012,9731.0,808.0,241.0,0.0,964.6666666666929,1.1229508196721312
0.022233333333333345,9726.0,808.0,244.0,0.0,963.8518518518787,1.1300813008130082
0.022616666666666677,9722.0,807.0,246.0,0.0,963.4814814815086,1.136
0.023000000000000013,9716.0,804.0,250.0,0.0,962.8148148148424,1.1422924901185771
0.023383333333333346,9711.0,801.0,253.0,0.0,962.4444444444723,1.1423076923076922
0.02376666666666668,9703.0,794.0,260.0,0.0,962.0740740741022,1.1401515151515151
0.024150000000000015,9699.0,791.0,264.0,0.0,961.6296296296581,1.1486988847583643
0.02453333333333335,9691.0,788.0,269.0,0.0,960.9629629629919,1.1490909090909092
0.024916666666666684,9684.0,782.0,275.0,0.0,960.7407407407699,1.148014440433213
0.02530000000000002,9682.0,780.0,277.0,0.0,959.9259259259557,1.1595744680851063
0.02568333333333335,9673.0,775.0,282.0,0.0,959.5555555555856,1.158450704225352
0.026066666666666686,9671.0,774.0,284.0,0.0,959.0370370370674,1.166089965397924
0.02645000000000002,9663.0,772.0,289.0,0.0,958.2962962963272,1.1689655172413793
0.026833333333333355,9661.0,771.0,290.0,0.0,957.629629629661,1.1728813559322033
0.027216666666666684,9654.0,767.0,295.0,0.0,957.0370370370689,1.1778523489932886
0.02760000000000002,9649.0,764.0,298.0,0.0,956.6666666666988,1.1766666666666667
