PARAMETERS
Parameter,Name in code,Value,Units
Delta t,delta_t,0.01,tau_l units
Initial number of bacteria,Nb0,1000,-
Initial concentration of bacteria,B,1000000.0,cells/ml
Initial concentration of phage,P,100000.0,cells/ml
Maximum number of timer molecules,N,60,-
Production rate of timer molecules,k,6.0,cells/min·ml
Number of dead timer molecules when superinfected,nd,30,-
Adsorption rate of phage to bacteria,nu,5e-10,cells/min·ml
Initial concentration of nutrients,n0,10000000.0,nutrient/ml


ADDITIONAL DATA FROM SIMULATION
Magnitude,Value,Unit
Duration,3.4239184856414795,s
Volume of the system,0.001,ml
Number of iterations,10000,-


DATA FROM SIMULATION
Time (hours),Number of phage,Number of bacteria,Number of nutrients,Tau (mins)
---
0.0,100.0,1000.0,10000.0,-1.363115719988382e+57
0.00038333333333333334,100.0,1000.0,9999.629629629626,8.93
0.0007666666666666667,100.0,1001.0,9998.814814814803,12.210000000000758
0.0011500000000000002,100.0,1003.0,9998.222222222204,9.480000000000821
0.0015333333333333334,100.0,1003.0,9997.407407407381,8.309999999999093
0.001916666666666667,100.0,1003.0,9997.037037037007,9.829999999998535
0.0023000000000000004,100.0,1005.0,9996.518518518484,9.34999999999814
0.002683333333333334,100.0,1005.0,9995.925925925885,11.319999999997748
0.0030666666666666668,100.0,1005.0,9995.407407407361,8.579999999998293
0.00345,100.0,1005.0,9994.666666666613,10.839999999997843
0.0038333333333333336,100.0,1009.0,9993.777777777716,8.729999999998263
0.004216666666666666,100.0,1009.0,9993.259259259192,9.369999999998136
0.004599999999999999,100.0,1009.0,9992.29629629622,9.709999999998068
0.004983333333333332,100.0,1009.0,9991.85185185177,9.79999999999805
0.005366666666666666,100.0,1009.0,9991.333333333247,11.849999999997642
0.00575,100.0,1010.0,9990.740740740648,10.429999999997925
0.0061333333333333335,100.0,1011.0,9990.074074073975,9.629999999998084
0.006516666666666667,100.0,1012.0,9989.407407407301,11.719999999997668
0.006900000000000001,100.0,1013.0,9988.666666666553,9.709999999998068
0.007283333333333334,100.0,1013.0,9988.074074073955,10.709999999998857
0.007666666666666668,100.0,1016.0,9987.259259259132,9.359999999999374
0.008050000000000002,100.0,1017.0,9986.592592592458,10.269999999999989
0.008433333333333336,100.0,1017.0,9985.629629629486,7.840000000001247
0.008816666666666669,100.0,1019.0,9985.037037036887,10.84000000000131
0.009200000000000003,100.0,1020.0,9984.29629629614,11.13000000000175
0.009583333333333336,100.0,1020.0,9983.925925925765,8.37000000000318
0.00996666666666667,100.0,1020.0,9983.555555555391,9.560000000003114
0.010350000000000003,100.0,1022.0,9982.962962962793,10.820000000003276
0.010733333333333338,100.0,1023.0,9982.370370370194,10.260000000004943
0.01111666666666667,100.0,1024.0,9981.70370370352,11.510000000005888
0.011500000000000005,100.0,1025.0,9980.666666666473,9.340000000004778
0.011883333333333338,100.0,1025.0,9979.925925925725,11.600000000005934
0.012266666666666672,100.0,1025.0,9979.407407407201,8.060000000004123
0.012650000000000005,100.0,1027.0,9978.740740740528,9.380000000004799
0.01303333333333334,100.0,1028.0,9977.925925925705,9.570000000004896
