PARAMETERS
Parameter,Name in code,Value,Units
Delta t,delta_t,0.01,tau_l units
Initial number of bacteria,Nb0,1000,-
Initial concentration of bacteria,B,100000000.0,cells/ml
Initial concentration of phage,P,1000000000.0,cells/ml
Maximum number of timer molecules,N,60,-
Production rate of timer molecules,k,6.0,cells/min·ml
Number of dead timer molecules when superinfected,nd,30,-
Adsorption rate of phage to bacteria,nu,5e-10,cells/min·ml
Initial concentration of nutrients,n0,100000000.0,nutrient/ml
Maximum infections one bacterium can handle,Nimax,90,-
Width of the maximum infection one bacterium can handle,Nimax_std,28.125,-
Time window to track maximum infections,time_window,0.8695652173913043,tau_l units


ADDITIONAL DATA FROM SIMULATION
Magnitude,Value,Unit
Duration,4.079815864562988,s
Volume of the system,1e-05,ml
Number of iterations,20000,-


DATA FROM SIMULATION
Time (hours),Number of phage,Number of healthy bacteria,Number of infected bacteria,Number of dead bacteria,Number of nutrients,Average MOSI,Burst events due to MD
---
0.0,10000.0,1000.0,0.0,0.0,1000.0000000000001,1.0,0
0.00038333333333333334,9994.0,996.0,6.0,0.0,999.3333333333339,1.0,0
0.0007666666666666667,9990.0,992.0,10.0,0.0,998.9629629629638,1.0,0
0.0011500000000000002,9988.0,990.0,12.0,0.0,998.1481481481496,1.0,0
0.0015333333333333334,9984.0,986.0,16.0,0.0,997.5555555555575,1.0,0
0.001916666666666667,9978.0,981.0,22.0,0.0,996.9629629629653,1.0,0
0.0023000000000000004,9974.0,979.0,26.0,0.0,996.3703703703732,1.0,0
0.002683333333333334,9966.0,972.0,34.0,0.0,995.925925925929,1.0,0
0.0030666666666666668,9964.0,971.0,36.0,0.0,995.4074074074109,1.0,0
0.00345,9959.0,967.0,41.0,0.0,994.5185185185227,1.0,0
0.0038333333333333336,9953.0,962.0,47.0,0.0,993.9259259259305,1.0,0
0.004216666666666666,9947.0,957.0,53.0,0.0,993.2592592592644,1.0,0
0.004599999999999999,9945.0,955.0,55.0,0.0,992.3703703703761,1.032258064516129,0
0.004983333333333332,9936.0,949.0,62.0,0.0,991.6296296296359,1.0317460317460319,0
0.005366666666666666,9935.0,951.0,63.0,0.0,990.6666666666737,1.0307692307692307,0
0.00575,9933.0,952.0,65.0,0.0,990.0740740740815,1.0277777777777777,0
0.0061333333333333335,9926.0,946.0,72.0,0.0,989.3333333333413,1.0263157894736843,0
0.006516666666666667,9922.0,944.0,76.0,0.0,988.7407407407492,1.024390243902439,0
0.006900000000000001,9916.0,939.0,82.0,0.0,988.148148148157,1.021978021978022,0
0.007283333333333334,9907.0,930.0,91.0,0.0,987.6296296296389,1.0408163265306123,0
0.007666666666666668,9898.0,923.0,98.0,0.0,987.0370370370467,1.0396039603960396,0
0.008050000000000002,9895.0,920.0,101.0,0.0,986.4444444444546,1.0377358490566038,0
0.008433333333333336,9890.0,916.0,106.0,0.0,985.9259259259364,1.0360360360360361,0
0.008816666666666669,9885.0,911.0,111.0,0.0,985.6296296296404,1.0350877192982457,0
0.009200000000000003,9882.0,910.0,114.0,0.0,984.5925925926041,1.0495867768595042,0
0.009583333333333336,9873.0,904.0,121.0,0.0,984.222222222234,1.0546875,0
0.00996666666666667,9865.0,898.0,128.0,0.0,983.4814814814938,1.0538461538461539,0
0.010350000000000003,9863.0,897.0,130.0,0.0,982.8148148148276,1.0671641791044777,0
0.010733333333333338,9857.0,894.0,134.0,0.0,982.2222222222355,1.079136690647482,0
0.01111666666666667,9850.0,890.0,139.0,0.0,981.4814814814953,1.0857142857142856,0
0.011500000000000005,9848.0,889.0,140.0,0.0,980.8888888889031,1.0909090909090908,0
0.011883333333333338,9844.0,886.0,143.0,0.0,980.296296296311,1.089655172413793,0
0.012266666666666672,9842.0,885.0,145.0,0.0,979.6296296296448,1.1,0
0.012650000000000005,9835.0,882.0,150.0,0.0,978.7407407407566,1.0974025974025974,0
0.01303333333333334,9831.0,879.0,154.0,0.0,978.1481481481644,1.1075949367088607,0
0.013416666666666672,9825.0,875.0,158.0,0.0,977.5555555555723,1.1024096385542168,0
0.013800000000000007,9817.0,868.0,166.0,0.0,977.0370370370541,1.1077844311377245,0
0.014183333333333341,9815.0,867.0,167.0,0.0,976.518518518536,1.105263157894737,0
0.014566666666666674,9811.0,863.0,171.0,0.0,976.2962962963139,1.1028571428571428,0
0.014950000000000008,9807.0,859.0,175.0,0.0,975.6296296296478,1.106145251396648,0
0.015333333333333341,9802.0,857.0,179.0,0.0,975.0370370370556,1.1092896174863387,0
0.015716666666666674,9797.0,855.0,183.0,0.0,974.2962962963154,1.1135135135135135,0
0.01610000000000001,9794.0,855.0,185.0,0.0,973.5555555555752,1.1117021276595744,0
0.016483333333333343,9791.0,854.0,188.0,0.0,973.1111111111311,1.1128205128205129,0
0.01686666666666668,9783.0,847.0,195.0,0.0,972.5185185185389,1.1269035532994924,0
0.01725000000000001,9778.0,847.0,197.0,0.0,971.8518518518728,1.1306532663316582,0
0.017633333333333345,9775.0,845.0,199.0,0.0,971.6296296296507,1.1274509803921569,0
0.018016666666666677,9770.0,840.0,204.0,0.0,971.4074074074287,1.1545893719806763,0
0.018400000000000014,9761.0,838.0,207.0,0.0,970.6666666666885,1.1495327102803738,0
