PARAMETERS
Parameter,Name in code,Value,Units
Delta t,delta_t,0.01,tau_l units
Initial number of bacteria,Nb0,1000,-
Initial concentration of bacteria,B,100000000.0,cells/ml
Initial concentration of phage,P,1000000000.0,cells/ml
Maximum number of timer molecules,N,60,-
Production rate of timer molecules,k,6.0,cells/min·ml
Number of dead timer molecules when superinfected,nd,30,-
Adsorption rate of phage to bacteria,nu,5e-10,cells/min·ml
Initial concentration of nutrients,n0,100000000.0,nutrient/ml
Maximum infections one bacterium can handle,Nimax,10,-
Width of the maximum infection one bacterium can handle,Nimax_std,20,-
Time window to track maximum infections,time_window,1.3043478260869565,tau_l units
Constant burst size,ctburstsize,10,-


ADDITIONAL DATA FROM SIMULATION
Magnitude,Value,Unit
Duration,58.108195781707764,s
Volume of the system,1e-05,ml
Number of iterations,50000,-


DATA FROM SIMULATION
Time (hours),Number of phage,Number of healthy bacteria,Number of infected bacteria,Number of dead bacteria,Number of nutrients,Average MOSI,Burst events due to MD,Burst phages due to MD
---
0.0,10000.0,1000.0,0.0,0.0,1000.0000000000001,1.0,0,0.0
0.00038333333333333334,9996.0,997.0,4.0,0.0,999.407407407408,1.1111111111111112,0,0.0
0.0007666666666666667,9990.0,992.0,9.0,0.0,998.6666666666678,1.1428571428571428,0,0.0
0.0011500000000000002,9984.0,988.0,14.0,0.0,998.2222222222236,1.105263157894737,0,0.0
0.0015333333333333334,9979.0,983.0,19.0,0.0,997.9259259259276,1.0869565217391304,0,0.0
0.001916666666666667,9975.0,979.0,23.0,0.0,997.2592592592614,1.103448275862069,0,0.0
0.0023000000000000004,9968.0,974.0,29.0,0.0,996.4444444444472,1.0909090909090908,0,0.0
0.002683333333333334,9964.0,970.0,33.0,0.0,995.3333333333369,1.1111111111111112,0,0.0
0.0030666666666666668,9960.0,968.0,36.0,0.0,995.0370370370408,1.1136363636363635,0,0.0
0.00345,9951.0,960.0,44.0,0.0,994.4444444444487,1.0980392156862746,0,0.0
0.0038333333333333336,9944.0,954.0,51.0,0.0,993.6296296296345,1.0892857142857142,0,0.0
0.004216666666666666,9939.0,950.0,56.0,0.0,992.8888888888943,1.098360655737705,0,0.0
0.004599999999999999,9933.0,945.0,61.0,0.0,992.5925925925982,1.1076923076923078,0,0.0
0.004983333333333332,9928.0,941.0,65.0,0.0,992.000000000006,1.0972222222222223,0,0.0
0.005366666666666666,9921.0,934.0,72.0,0.0,991.70370370371,1.095890410958904,0,0.0
0.00575,9920.0,936.0,73.0,0.0,991.0370370370438,1.0909090909090908,0,0.0
0.0061333333333333335,9916.0,932.0,77.0,0.0,990.4444444444516,1.0975609756097562,0,0.0
0.006516666666666667,9910.0,928.0,82.0,0.0,989.7037037037114,1.0909090909090908,0,0.0
0.006900000000000001,9904.0,924.0,88.0,0.0,989.0370370370453,1.0879120879120878,0,0.0
0.007283333333333334,9901.0,921.0,91.0,0.0,988.7407407407492,1.0869565217391304,0,0.0
0.007666666666666668,9900.0,922.0,92.0,0.0,988.222222222231,1.0808080808080809,0,0.0
0.008050000000000002,9893.0,915.0,99.0,0.0,987.8518518518609,1.0761904761904761,0,0.0
0.008433333333333336,9887.0,909.0,105.0,0.0,987.1111111111207,1.0727272727272728,0,0.0
