PARAMETERS
Parameter,Name in code,Value,Units
Delta t,delta_t,0.01,tau_l units
Initial number of bacteria,Nb0,1000,-
Initial concentration of bacteria,B,100000000.0,cells/ml
Initial concentration of phage,P,1000000000.0,cells/ml
Maximum number of timer molecules,N,60,-
Production rate of timer molecules,k,6.0,cells/min·ml
Number of dead timer molecules when superinfected,nd,30,-
Adsorption rate of phage to bacteria,nu,5e-10,cells/min·ml
Initial concentration of nutrients,n0,100000000.0,nutrient/ml
Maximum infections one bacterium can handle,Nimax,90,-
Width of the maximum infection one bacterium can handle,Nimax_std,28.125,-
Time window to track maximum infections,time_window,0.8695652173913043,tau_l units


ADDITIONAL DATA FROM SIMULATION
Magnitude,Value,Unit
Duration,4.877890586853027,s
Volume of the system,1e-05,ml
Number of iterations,20000,-


DATA FROM SIMULATION
Time (hours),Number of phage,Number of healthy bacteria,Number of infected bacteria,Number of dead bacteria,Number of nutrients,Average MOSI,Burst events due to MD,Burst phages due to MD
---
0.0,10000.0,1000.0,0.0,0.0,1000.0000000000001,1.0,0,0.0
0.00038333333333333334,9993.0,993.0,7.0,0.0,998.7407407407418,1.0,0,0.0
0.0007666666666666667,9985.0,986.0,15.0,0.0,998.1481481481496,1.0,0,0.0
0.0011500000000000002,9983.0,984.0,17.0,0.0,997.3333333333354,1.0,0,0.0
0.0015333333333333334,9979.0,980.0,21.0,0.0,996.9629629629653,1.0,0,0.0
0.001916666666666667,9971.0,972.0,29.0,0.0,996.3703703703732,1.0,0,0.0
0.0023000000000000004,9962.0,964.0,38.0,0.0,995.925925925929,1.0,0,0.0
0.002683333333333334,9959.0,961.0,41.0,0.0,995.4814814814849,1.0,0,0.0
0.0030666666666666668,9949.0,951.0,51.0,0.0,995.1851851851889,1.0,0,0.0
0.00345,9946.0,948.0,54.0,0.0,994.6666666666707,1.0,0,0.0
0.0038333333333333336,9943.0,946.0,57.0,0.0,994.2222222222266,1.0,0,0.0
0.004216666666666666,9940.0,944.0,60.0,0.0,993.7777777777825,1.0,0,0.0
0.004599999999999999,9935.0,939.0,65.0,0.0,993.5555555555604,1.0,0,0.0
0.004983333333333332,9932.0,936.0,68.0,0.0,992.8148148148202,1.0,0,0.0
0.005366666666666666,9929.0,935.0,71.0,0.0,992.000000000006,1.0,0,0.0
0.00575,9922.0,928.0,78.0,0.0,991.2592592592658,1.0,0,0.0
0.0061333333333333335,9916.0,923.0,84.0,0.0,990.5185185185256,1.0,0,0.0
0.006516666666666667,9912.0,920.0,88.0,0.0,990.1481481481555,1.010989010989011,0,0.0
0.006900000000000001,9908.0,917.0,91.0,0.0,989.6296296296374,1.021505376344086,0,0.0
0.007283333333333334,9905.0,917.0,93.0,0.0,989.2592592592673,1.029126213592233,0,0.0
0.007666666666666668,9894.0,907.0,103.0,0.0,988.7407407407492,1.0373831775700935,0,0.0
0.008050000000000002,9889.0,905.0,107.0,0.0,988.074074074083,1.0363636363636364,0,0.0
0.008433333333333336,9886.0,903.0,110.0,0.0,987.5555555555649,1.0446428571428572,0,0.0
0.008816666666666669,9883.0,901.0,112.0,0.0,987.2592592592688,1.0683760683760684,0,0.0
0.009200000000000003,9875.0,896.0,117.0,0.0,986.8148148148247,1.0725806451612903,0,0.0
