PARAMETERS
Parameter,Name in code,Value,Units
Delta t,delta_t,0.01,tau_l units
Initial number of bacteria,Nb0,1000,-
Initial concentration of bacteria,B,100000000.0,cells/ml
Initial concentration of phage,P,1000000000.0,cells/ml
Maximum number of timer molecules,N,60,-
Production rate of timer molecules,k,6.0,cells/min·ml
Number of dead timer molecules when superinfected,nd,30,-
Adsorption rate of phage to bacteria,nu,5e-10,cells/min·ml
Initial concentration of nutrients,n0,100000000.0,nutrient/ml
Maximum infections one bacterium can handle,Nimax,90,-
Width of the maximum infection one bacterium can handle,Nimax_std,28.125,-
Time window to track maximum infections,time_window,0.21739130434782608,tau_l units


ADDITIONAL DATA FROM SIMULATION
Magnitude,Value,Unit
Duration,3.799049139022827,s
Volume of the system,1e-05,ml
Number of iterations,20000,-


DATA FROM SIMULATION
Time (hours),Number of phage,Number of healthy bacteria,Number of infected bacteria,Number of dead bacteria,Number of nutrients,Average MOSI
---
0.0,10000.0,1000.0,0.0,0.0,1000.0000000000001,1.0
0.00038333333333333334,9999.0,1000.0,1.0,0.0,999.481481481482,1.0
0.0007666666666666667,9997.0,999.0,3.0,0.0,998.6666666666678,1.0
0.0011500000000000002,9992.0,995.0,8.0,0.0,997.8518518518536,1.0
0.0015333333333333334,9985.0,988.0,15.0,0.0,996.9629629629653,1.0
0.001916666666666667,9978.0,981.0,22.0,0.0,996.0740740740771,1.0
0.0023000000000000004,9974.0,980.0,26.0,0.0,995.3333333333369,1.0
0.002683333333333334,9970.0,978.0,30.0,0.0,994.5925925925967,1.0
0.0030666666666666668,9966.0,975.0,34.0,0.0,993.8518518518565,1.0
0.00345,9955.0,965.0,45.0,0.0,993.3333333333384,1.0
0.0038333333333333336,9949.0,961.0,51.0,0.0,992.9629629629683,1.0
0.004216666666666666,9946.0,958.0,54.0,0.0,992.2222222222281,1.0
0.004599999999999999,9933.0,945.0,67.0,0.0,991.5555555555619,1.0
0.004983333333333332,9926.0,938.0,74.0,0.0,991.1111111111178,1.0
0.005366666666666666,9916.0,929.0,84.0,0.0,990.5185185185256,1.010989010989011
0.00575,9908.0,922.0,91.0,0.0,989.8518518518595,1.0103092783505154
0.0061333333333333335,9902.0,916.0,97.0,0.0,989.1851851851933,1.0198019801980198
0.006516666666666667,9897.0,913.0,101.0,0.0,988.8888888888972,1.0388349514563107
0.006900000000000001,9893.0,911.0,103.0,0.0,988.4444444444531,1.0471698113207548
0.007283333333333334,9889.0,908.0,106.0,0.0,987.8518518518609,1.0560747663551402
0.007666666666666668,9887.0,908.0,107.0,0.0,987.1111111111207,1.0545454545454545
0.008050000000000002,9884.0,907.0,110.0,0.0,986.4444444444546,1.0512820512820513
0.008433333333333336,9877.0,902.0,117.0,0.0,985.4074074074183,1.0661157024793388
0.008816666666666669,9871.0,899.0,121.0,0.0,984.7407407407521,1.065040650406504
0.009200000000000003,9869.0,897.0,123.0,0.0,984.14814814816,1.0769230769230769
0.009583333333333336,9860.0,890.0,130.0,0.0,983.7777777777899,1.0827067669172932
0.00996666666666667,9856.0,887.0,133.0,0.0,983.1111111111237,1.0888888888888888
0.010350000000000003,9853.0,887.0,135.0,0.0,982.4444444444575,1.0942028985507246
0.010733333333333338,9849.0,884.0,138.0,0.0,981.8518518518654,1.0890410958904109
0.01111666666666667,9841.0,877.0,146.0,0.0,981.3333333333472,1.0933333333333333
0.011500000000000005,9836.0,873.0,150.0,0.0,980.7407407407551,1.0909090909090908
0.011883333333333338,9832.0,869.0,154.0,0.0,980.296296296311,1.093167701863354
0.012266666666666672,9824.0,863.0,161.0,0.0,979.7777777777928,1.098159509202454
0.012650000000000005,9821.0,862.0,163.0,0.0,979.1111111111267,1.1024096385542168
0.01303333333333334,9817.0,859.0,166.0,0.0,978.6666666666825,1.1124260355029585
0.013416666666666672,9812.0,856.0,169.0,0.0,978.4444444444605,1.1085714285714285
0.013800000000000007,9806.0,850.0,175.0,0.0,977.5555555555723,1.10989010989011
0.014183333333333341,9798.0,844.0,182.0,0.0,976.666666666684,1.105263157894737
0.014566666666666674,9790.0,836.0,190.0,0.0,976.370370370388,1.1025641025641026
0.014950000000000008,9785.0,832.0,195.0,0.0,976.0000000000178,1.1111111111111112
0.015333333333333341,9780.0,829.0,198.0,0.0,975.7037037037218,1.1176470588235294
0.015716666666666674,9772.0,825.0,204.0,0.0,974.9629629629816,1.1153846153846154
0.01610000000000001,9768.0,822.0,208.0,0.0,974.6666666666855,1.1173708920187793
0.016483333333333343,9762.0,818.0,213.0,0.0,974.0000000000193,1.1232876712328768
0.01686666666666668,9754.0,812.0,219.0,0.0,973.6296296296492,1.1210762331838564
0.01725000000000001,9750.0,809.0,223.0,0.0,972.962962962983,1.1210762331838564
0.017633333333333345,9750.0,810.0,223.0,0.0,972.4444444444649,1.1283185840707965
0.018016666666666677,9745.0,811.0,226.0,0.0,971.5555555555767,1.13215859030837
0.018400000000000014,9743.0,810.0,227.0,0.0,971.1111111111326,1.1324786324786325
0.018783333333333343,9735.0,804.0,234.0,0.0,970.5185185185404,1.1428571428571428
0.019166666666666676,9728.0,801.0,238.0,0.0,970.0740740740963,1.157676348547718
0.01955000000000001,9721.0,800.0,241.0,0.0,969.4074074074301,1.1666666666666667
0.019933333333333345,9713.0,795.0,246.0,0.0,969.03703703706,1.168
0.020316666666666674,9708.0,792.0,250.0,0.0,967.8518518518757,1.172
0.02070000000000001,9707.0,792.0,250.0,0.0,967.4814814815056,1.1752988047808766
0.021083333333333343,9705.0,791.0,251.0,0.0,966.9629629629875,1.18503937007874
0.02146666666666668,9699.0,789.0,254.0,0.0,966.2962962963213,1.2
0.021850000000000012,9694.0,791.0,255.0,0.0,965.7037037037292,1.2054263565891472
0.022233333333333345,9689.0,789.0,258.0,0.0,965.037037037063,1.2061068702290076
0.022616666666666677,9684.0,785.0,262.0,0.0,964.8148148148409,1.209125475285171
0.023000000000000013,9682.0,784.0,263.0,0.0,964.3703703703968,1.212686567164179
0.023383333333333346,9675.0,780.0,268.0,0.0,964.0000000000267,1.2140221402214022
0.02376666666666668,9671.0,777.0,271.0,0.0,963.1851851852125,1.2107142857142856
0.024150000000000015,9661.0,768.0,280.0,0.0,962.8148148148424,1.2140350877192982
0.02453333333333335,9654.0,763.0,285.0,0.0,962.2222222222503,1.2145328719723183
0.024916666666666684,9649.0,759.0,289.0,0.0,961.7777777778061,1.217241379310345
0.02530000000000002,9647.0,759.0,290.0,0.0,961.185185185214,1.2184300341296928
0.02568333333333335,9643.0,758.0,293.0,0.0,960.4444444444738,1.2188552188552189
0.026066666666666686,9638.0,754.0,297.0,0.0,960.1481481481777,1.2173913043478262
0.02645000000000002,9636.0,753.0,299.0,0.0,959.3333333333635,1.221122112211221
0.026833333333333355,9630.0,749.0,303.0,0.0,959.1851851852155,1.2222222222222223
0.027216666666666684,9626.0,746.0,306.0,0.0,958.3703703704012,1.2211538461538463
0.02760000000000002,9619.0,740.0,312.0,0.0,958.2962962963272,1.2268370607028753
