PARAMETERS
Parameter,Name in code,Value,Units
Delta t,delta_t,0.01,tau_l units
Initial number of bacteria,Nb0,1000,-
Initial concentration of bacteria,B,100000000.0,cells/ml
Initial concentration of phage,P,1000000000.0,cells/ml
Maximum number of timer molecules,N,60,-
Production rate of timer molecules,k,6.0,cells/min·ml
Number of dead timer molecules when superinfected,nd,30,-
Adsorption rate of phage to bacteria,nu,5e-10,cells/min·ml
Initial concentration of nutrients,n0,100000000000.0,nutrient/ml


ADDITIONAL DATA FROM SIMULATION
Magnitude,Value,Unit
Duration,0.4741041660308838,s
Volume of the system,1e-05,ml
Number of iterations,50000,-


DATA FROM SIMULATION
Time (hours),Number of phage,Number of healthy bacteria,Number of infected bacteria,Number of dead bacteria,Number of nutrients
---
0.0,10000.0,1000.0,0.0,0.0,1000000.0000000001
0.00038333333333333334,9999.0,1001.0,1.0,0.0,999999.2592592597
0.0007666666666666667,9995.0,998.0,5.0,0.0,999998.8148148154
0.0011500000000000002,9990.0,993.0,10.0,0.0,999997.9259259269
0.0015333333333333334,9982.0,987.0,18.0,0.0,999996.7407407422
0.001916666666666667,9977.0,982.0,23.0,0.0,999996.2222222239
0.0023000000000000004,9975.0,983.0,25.0,0.0,999995.5555555575
0.002683333333333334,9971.0,979.0,29.0,0.0,999995.1111111132
0.0030666666666666668,9966.0,975.0,34.0,0.0,999994.814814817
0.00345,9959.0,968.0,41.0,0.0,999994.2222222247
0.0038333333333333336,9953.0,963.0,47.0,0.0,999993.7777777804
0.004216666666666666,9951.0,966.0,49.0,0.0,999992.6666666698
0.004599999999999999,9945.0,962.0,55.0,0.0,999992.1481481515
0.004983333333333332,9940.0,960.0,60.0,0.0,999991.333333337
0.005366666666666666,9934.0,954.0,66.0,0.0,999990.5185185225
0.00575,9928.0,949.0,72.0,0.0,999989.7777777821
0.0061333333333333335,9923.0,946.0,77.0,0.0,999989.1111111157
0.006516666666666667,9919.0,942.0,81.0,0.0,999988.5185185233
0.006900000000000001,9916.0,940.0,84.0,0.0,999988.000000005
0.007283333333333334,9910.0,934.0,90.0,0.0,999987.4074074127
0.007666666666666668,9902.0,929.0,97.0,0.0,999986.1481481539
0.008050000000000002,9896.0,925.0,102.0,0.0,999985.7037037096
0.008433333333333336,9891.0,921.0,106.0,0.0,999984.8888888952
0.008816666666666669,9880.0,912.0,116.0,0.0,999983.7777777845
0.009200000000000003,9876.0,911.0,119.0,0.0,999982.888888896
0.009583333333333336,9870.0,906.0,125.0,0.0,999982.7407407479
0.00996666666666667,9866.0,903.0,129.0,0.0,999982.2222222296
0.010350000000000003,9862.0,899.0,133.0,0.0,999981.7037037113
0.010733333333333338,9860.0,899.0,135.0,0.0,999980.8888888968
0.01111666666666667,9854.0,894.0,140.0,0.0,999980.4444444525
0.011500000000000005,9845.0,885.0,149.0,0.0,999980.0740740823
0.011883333333333338,9843.0,885.0,149.0,0.0,999979.7037037121
0.012266666666666672,9840.0,882.0,152.0,0.0,999979.1111111197
0.012650000000000005,9832.0,876.0,159.0,0.0,999978.4444444533
0.01303333333333334,9831.0,875.0,160.0,0.0,999978.0000000091
0.013416666666666672,9826.0,871.0,165.0,0.0,999977.4074074167
0.013800000000000007,9821.0,866.0,170.0,0.0,999976.6666666763
0.014183333333333341,9815.0,860.0,176.0,0.0,999976.0740740839
0.014566666666666674,9806.0,854.0,184.0,0.0,999975.2592592695
0.014950000000000008,9801.0,851.0,187.0,0.0,999974.6666666771
0.015333333333333341,9796.0,847.0,192.0,0.0,999974.2222222328
0.015716666666666674,9791.0,842.0,197.0,0.0,999973.9259259367
0.01610000000000001,9782.0,834.0,206.0,0.0,999973.6296296405
0.016483333333333343,9779.0,831.0,209.0,0.0,999973.2592592703
0.01686666666666668,9772.0,826.0,215.0,0.0,999972.814814826
0.01725000000000001,9768.0,823.0,218.0,0.0,999972.3703703817
0.017633333333333345,9764.0,822.0,221.0,0.0,999971.7037037153
0.018016666666666677,9760.0,818.0,225.0,0.0,999971.2592592711
0.018400000000000014,9753.0,814.0,231.0,0.0,999970.4444444566
0.018783333333333343,9749.0,812.0,234.0,0.0,999970.0740740864
0.019166666666666676,9742.0,808.0,238.0,0.0,999969.5555555681
0.01955000000000001,9739.0,805.0,241.0,0.0,999969.2592592719
0.019933333333333345,9735.0,801.0,245.0,0.0,999968.3703703834
0.020316666666666674,9733.0,801.0,246.0,0.0,999967.6296296429
0.02070000000000001,9729.0,797.0,250.0,0.0,999966.9629629765
0.021083333333333343,9720.0,793.0,254.0,0.0,999966.8888889025
0.02146666666666668,9718.0,792.0,255.0,0.0,999966.3703703842
0.021850000000000012,9714.0,789.0,258.0,0.0,999965.7777777918
0.022233333333333345,9708.0,784.0,263.0,0.0,999965.4814814957
0.022616666666666677,9702.0,781.0,267.0,0.0,999964.8148148293
0.023000000000000013,9695.0,776.0,273.0,0.0,999964.370370385
0.023383333333333346,9690.0,775.0,276.0,0.0,999963.7037037186
0.02376666666666668,9688.0,775.0,276.0,0.0,999963.2592592743
0.024150000000000015,9682.0,772.0,280.0,0.0,999962.8148148301
0.02453333333333335,9681.0,771.0,281.0,0.0,999962.0740740896
0.024916666666666684,9676.0,769.0,285.0,0.0,999961.2592592752
0.02530000000000002,9672.0,765.0,289.0,0.0,999960.8148148309
0.02568333333333335,9668.0,762.0,293.0,0.0,999960.2222222385
0.026066666666666686,9664.0,759.0,297.0,0.0,999959.9259259424
0.02645000000000002,9657.0,757.0,299.0,0.0,999959.4074074241
0.026833333333333355,9651.0,751.0,305.0,0.0,999958.5925926096
0.027216666666666684,9645.0,747.0,309.0,0.0,999958.2222222394
0.02760000000000002,9637.0,741.0,315.0,0.0,999957.703703721
0.027983333333333353,9634.0,739.0,317.0,0.0,999957.2592592768
0.02836666666666669,9627.0,735.0,321.0,0.0,999957.0370370547
0.02875000000000002,9622.0,731.0,325.0,0.0,999956.4444444623
0.029133333333333355,9618.0,730.0,326.0,0.0,999956.2222222402
0.029516666666666688,9616.0,729.0,328.0,0.0,999955.85185187
0.029900000000000024,9609.0,723.0,334.0,0.0,999955.4074074257
0.030283333333333353,9599.0,714.0,343.0,0.0,999955.0370370555
0.03066666666666669,9591.0,711.0,346.0,0.0,999954.4444444631
0.031050000000000022,9583.0,705.0,352.0,0.0,999954.222222241
0.031433333333333355,9576.0,704.0,354.0,0.0,999953.9259259448
0.03181666666666669,9570.0,701.0,357.0,0.0,999953.4814815006
0.03220000000000003,9568.0,699.0,359.0,0.0,999953.0370370563
0.03258333333333336,9566.0,697.0,361.0,0.0,999952.592592612
0.03296666666666669,9562.0,693.0,365.0,0.0,999952.2222222418
0.033350000000000025,9556.0,691.0,368.0,0.0,999951.9259259456
0.03373333333333336,9552.0,690.0,371.0,0.0,999951.5555555754
0.03411666666666669,9546.0,686.0,375.0,0.0,999951.1111111311
0.034500000000000024,9541.0,683.0,378.0,0.0,999950.5185185388
0.03488333333333336,9536.0,680.0,381.0,0.0,999950.0000000205
0.03526666666666669,9528.0,673.0,388.0,0.0,999949.7777777984
0.03565000000000003,9524.0,669.0,392.0,0.0,999949.3333333541
0.03603333333333336,9518.0,665.0,397.0,0.0,999948.7407407617
0.036416666666666694,9514.0,663.0,399.0,0.0,999948.5185185396
0.03680000000000003,9512.0,664.0,400.0,0.0,999948.0000000213
0.03718333333333336,9505.0,659.0,405.0,0.0,999947.7037037251
0.0375666666666667,9498.0,656.0,408.0,0.0,999947.407407429
0.03795000000000003,9489.0,654.0,413.0,0.0,999946.9629629847
0.03833333333333336,9485.0,653.0,415.0,0.0,999946.3703703923
0.0387166666666667,9481.0,651.0,417.0,0.0,999945.9259259481
0.03910000000000003,9474.0,648.0,421.0,0.0,999944.8888889115
0.03948333333333336,9470.0,646.0,423.0,0.0,999944.7407407634
0.039866666666666696,9465.0,641.0,428.0,0.0,999944.148148171
0.04025000000000003,9457.0,641.0,432.0,0.0,999943.3333333565
0.04063333333333337,9453.0,638.0,435.0,0.0,999943.1851852085
0.0410166666666667,9448.0,634.0,439.0,0.0,999942.6666666901
0.04140000000000003,9444.0,632.0,441.0,0.0,999942.370370394
0.04178333333333337,9439.0,628.0,445.0,0.0,999942.0740740978
0.0421666666666667,9438.0,628.0,445.0,0.0,999941.2592592833
0.04255000000000004,9433.0,625.0,448.0,0.0,999940.666666691
0.042933333333333365,9428.0,620.0,453.0,0.0,999940.2222222467
0.0433166666666667,9423.0,616.0,457.0,0.0,999939.7777778024
0.04370000000000004,9415.0,611.0,463.0,0.0,999939.4074074322
0.04408333333333337,9407.0,607.0,467.0,0.0,999938.8148148399
0.044466666666666696,9403.0,604.0,470.0,0.0,999938.5925926177
0.044850000000000036,9401.0,602.0,472.0,0.0,999938.1481481735
0.04523333333333337,9398.0,601.0,473.0,0.0,999938.0000000254
0.04561666666666671,9393.0,599.0,476.0,0.0,999937.7037037292
0.046000000000000034,9389.0,595.0,480.0,0.0,999937.407407433
0.04638333333333337,9387.0,594.0,481.0,0.0,999937.0370370628
0.046766666666666706,9384.0,592.0,483.0,0.0,999936.5925926185
0.04715000000000004,9378.0,587.0,488.0,0.0,999936.3703703964
