PARAMETERS
Parameter,Name in code,Value,Units
Delta t,delta_t,0.01,tau_l units
Initial number of bacteria,Nb0,100,-
Initial concentration of bacteria,B,100000000.0,cells/ml
Initial concentration of phage,P,1000000000.0,cells/ml
Maximum number of timer molecules,N,60,-
Production rate of timer molecules,k,6.0,cells/min·ml
Number of dead timer molecules when superinfected,nd,30,-
Adsorption rate of phage to bacteria,nu,5e-10,cells/min·ml
Initial concentration of nutrients,n0,1000000000.0,nutrient/ml


ADDITIONAL DATA FROM SIMULATION
Magnitude,Value,Unit
Duration,0.08525991439819336,s
Volume of the system,1e-06,ml
Number of iterations,50000,-


DATA FROM SIMULATION
Time (hours),Number of phage,Number of healthy bacteria,Number of infected bacteria,Number of dead bacteria,Number of nutrients
---
0.0,1000.0,100.0,0.0,0.0,1000.0
0.00038333333333333334,999.0,100.0,1.0,0.0,999.7777777777779
0.0007666666666666667,998.0,99.0,2.0,0.0,999.7037037037039
0.0011500000000000002,997.0,99.0,3.0,0.0,999.5555555555559
0.0015333333333333334,997.0,99.0,3.0,0.0,999.5555555555559
0.001916666666666667,997.0,99.0,3.0,0.0,999.5555555555559
0.0023000000000000004,997.0,99.0,3.0,0.0,999.5555555555559
0.002683333333333334,996.0,98.0,4.0,0.0,999.5555555555559
0.0030666666666666668,995.0,97.0,5.0,0.0,999.5555555555559
0.00345,994.0,97.0,5.0,0.0,999.5555555555559
0.0038333333333333336,994.0,97.0,5.0,0.0,999.5555555555559
0.004216666666666666,993.0,97.0,6.0,0.0,999.4814814814819
0.004599999999999999,991.0,95.0,8.0,0.0,999.4074074074078
0.004983333333333332,990.0,94.0,9.0,0.0,999.4074074074078
0.005366666666666666,990.0,94.0,9.0,0.0,999.4074074074078
0.00575,989.0,93.0,10.0,0.0,999.4074074074078
0.0061333333333333335,989.0,94.0,10.0,0.0,999.3333333333338
0.006516666666666667,989.0,94.0,10.0,0.0,999.3333333333338
0.006900000000000001,989.0,94.0,10.0,0.0,999.2592592592598
0.007283333333333334,986.0,91.0,13.0,0.0,999.2592592592598
0.007666666666666668,986.0,91.0,13.0,0.0,999.2592592592598
0.008050000000000002,985.0,91.0,13.0,0.0,999.2592592592598
0.008433333333333336,985.0,91.0,13.0,0.0,999.2592592592598
0.008816666666666669,984.0,91.0,13.0,0.0,999.2592592592598
0.009200000000000003,984.0,91.0,13.0,0.0,999.2592592592598
0.009583333333333336,984.0,91.0,13.0,0.0,999.2592592592598
0.00996666666666667,983.0,90.0,14.0,0.0,999.2592592592598
0.010350000000000003,982.0,89.0,15.0,0.0,999.1851851851858
0.010733333333333338,982.0,89.0,15.0,0.0,999.1111111111118
0.01111666666666667,981.0,89.0,15.0,0.0,999.1111111111118
0.011500000000000005,981.0,89.0,15.0,0.0,998.9629629629637
0.011883333333333338,981.0,89.0,15.0,0.0,998.8888888888897
0.012266666666666672,981.0,90.0,15.0,0.0,998.8148148148157
0.012650000000000005,980.0,89.0,16.0,0.0,998.7407407407417
0.01303333333333334,979.0,89.0,16.0,0.0,998.6666666666677
0.013416666666666672,976.0,86.0,19.0,0.0,998.6666666666677
0.013800000000000007,975.0,85.0,20.0,0.0,998.5925925925936
0.014183333333333341,974.0,85.0,20.0,0.0,998.5185185185196
0.014566666666666674,973.0,84.0,21.0,0.0,998.5185185185196
0.014950000000000008,973.0,84.0,21.0,0.0,998.4444444444456
0.015333333333333341,973.0,84.0,21.0,0.0,998.3703703703716
0.015716666666666674,972.0,83.0,22.0,0.0,998.2962962962976
0.01610000000000001,971.0,82.0,23.0,0.0,998.2962962962976
0.016483333333333343,970.0,81.0,24.0,0.0,998.2962962962976
0.01686666666666668,969.0,80.0,25.0,0.0,998.2962962962976
0.01725000000000001,967.0,80.0,25.0,0.0,998.2222222222235
0.017633333333333345,967.0,80.0,25.0,0.0,998.2222222222235
0.018016666666666677,965.0,79.0,26.0,0.0,998.1481481481495
0.018400000000000014,965.0,79.0,26.0,0.0,998.1481481481495
0.018783333333333343,965.0,79.0,26.0,0.0,998.0740740740755
0.019166666666666676,964.0,78.0,27.0,0.0,997.9259259259275
0.01955000000000001,962.0,78.0,27.0,0.0,997.8518518518534
0.019933333333333345,962.0,78.0,27.0,0.0,997.8518518518534
0.020316666666666674,962.0,78.0,27.0,0.0,997.8518518518534
0.02070000000000001,962.0,78.0,27.0,0.0,997.7037037037054
0.021083333333333343,961.0,77.0,28.0,0.0,997.7037037037054
0.02146666666666668,960.0,76.0,29.0,0.0,997.7037037037054
0.021850000000000012,960.0,76.0,29.0,0.0,997.7037037037054
0.022233333333333345,960.0,76.0,29.0,0.0,997.7037037037054
0.022616666666666677,960.0,76.0,29.0,0.0,997.7037037037054
0.023000000000000013,960.0,76.0,29.0,0.0,997.7037037037054
0.023383333333333346,960.0,76.0,29.0,0.0,997.7037037037054
0.02376666666666668,960.0,76.0,29.0,0.0,997.7037037037054
0.024150000000000015,960.0,76.0,29.0,0.0,997.6296296296314
0.02453333333333335,960.0,76.0,29.0,0.0,997.5555555555574
0.024916666666666684,959.0,76.0,30.0,0.0,997.4074074074093
0.02530000000000002,959.0,76.0,30.0,0.0,997.2592592592613
0.02568333333333335,959.0,76.0,30.0,0.0,997.2592592592613
0.026066666666666686,959.0,76.0,30.0,0.0,997.2592592592613
0.02645000000000002,959.0,76.0,30.0,0.0,997.2592592592613
0.026833333333333355,959.0,76.0,30.0,0.0,997.2592592592613
0.027216666666666684,958.0,75.0,31.0,0.0,997.1851851851873
0.02760000000000002,957.0,74.0,32.0,0.0,997.1111111111132
0.027983333333333353,956.0,73.0,33.0,0.0,997.1111111111132
0.02836666666666669,956.0,73.0,33.0,0.0,997.0370370370392
0.02875000000000002,955.0,73.0,33.0,0.0,997.0370370370392
0.029133333333333355,955.0,73.0,33.0,0.0,996.9629629629652
0.029516666666666688,955.0,73.0,33.0,0.0,996.8888888888912
0.029900000000000024,955.0,73.0,33.0,0.0,996.8888888888912
0.030283333333333353,955.0,73.0,33.0,0.0,996.7407407407431
0.03066666666666669,955.0,73.0,33.0,0.0,996.7407407407431
0.031050000000000022,955.0,73.0,33.0,0.0,996.6666666666691
0.031433333333333355,953.0,71.0,35.0,0.0,996.5925925925951
0.03181666666666669,953.0,71.0,35.0,0.0,996.5925925925951
0.03220000000000003,953.0,71.0,35.0,0.0,996.5925925925951
0.03258333333333336,951.0,69.0,37.0,0.0,996.5925925925951
0.03296666666666669,951.0,69.0,37.0,0.0,996.5925925925951
0.033350000000000025,951.0,69.0,37.0,0.0,996.5925925925951
0.03373333333333336,951.0,69.0,37.0,0.0,996.5925925925951
0.03411666666666669,950.0,68.0,38.0,0.0,996.5925925925951
0.034500000000000024,950.0,68.0,38.0,0.0,996.4444444444471
0.03488333333333336,950.0,68.0,38.0,0.0,996.4444444444471
0.03526666666666669,950.0,68.0,38.0,0.0,996.4444444444471
0.03565000000000003,949.0,67.0,39.0,0.0,996.370370370373
0.03603333333333336,948.0,66.0,40.0,0.0,996.370370370373
0.036416666666666694,948.0,66.0,40.0,0.0,996.296296296299
0.03680000000000003,948.0,66.0,40.0,0.0,996.222222222225
0.03718333333333336,948.0,66.0,40.0,0.0,996.222222222225
0.0375666666666667,948.0,66.0,40.0,0.0,996.148148148151
0.03795000000000003,947.0,65.0,41.0,0.0,996.148148148151
0.03833333333333336,946.0,64.0,42.0,0.0,996.148148148151
0.0387166666666667,946.0,64.0,42.0,0.0,996.074074074077
