PARAMETERS
Parameter,Name in code,Value,Units
Delta t,delta_t,0.01,tau_l units
Initial number of bacteria,Nb0,1000,-
Initial concentration of bacteria,B,100000000.0,cells/ml
Initial concentration of phage,P,1000000000.0,cells/ml
Maximum number of timer molecules,N,60,-
Production rate of timer molecules,k,6.0,cells/min·ml
Number of dead timer molecules when superinfected,nd,30,-
Adsorption rate of phage to bacteria,nu,5e-10,cells/min·ml
Initial concentration of nutrients,n0,100000000.0,nutrient/ml
Maximum infections one bacterium can handle,Nimax,30,-
Width of the maximum infection one bacterium can handle,Nimax_std,0.0,-
Time window to track maximum infections,time_window,0.8695652173913043,tau_l units
Constant burst size,ctburstsize,1300,-


ADDITIONAL DATA FROM SIMULATION
Magnitude,Value,Unit
Duration,5.15518045425415,s
Volume of the system,1e-05,ml
Number of iterations,50000,-


DATA FROM SIMULATION
Time (hours),Number of phage,Number of healthy bacteria,Number of infected bacteria,Number of dead bacteria,Number of nutrients,Average MOSI,Burst events due to MD,Burst phages due to MD
---
0.0,10000.0,1000.0,0.0,0.0,1000.0000000000001,1.0,0,0.0
0.00038333333333333334,9992.0,993.0,8.0,0.0,999.2592592592599,1.0,0,0.0
0.0007666666666666667,9987.0,989.0,13.0,0.0,998.5925925925937,1.0,0,0.0
0.0011500000000000002,9987.0,989.0,13.0,0.0,998.1481481481496,1.0,0,0.0
0.0015333333333333334,9981.0,984.0,19.0,0.0,997.7037037037055,1.0,0,0.0
0.001916666666666667,9979.0,982.0,21.0,0.0,997.4074074074094,1.0,0,0.0
0.0023000000000000004,9978.0,981.0,22.0,0.0,996.5185185185212,1.0,0,0.0
0.002683333333333334,9970.0,975.0,30.0,0.0,995.703703703707,1.0303030303030303,0,0.0
0.0030666666666666668,9966.0,974.0,33.0,0.0,994.7407407407447,1.0256410256410255,0,0.0
0.00345,9960.0,969.0,39.0,0.0,994.0000000000045,1.0227272727272727,0,0.0
0.0038333333333333336,9955.0,964.0,44.0,0.0,993.1111111111163,1.0192307692307692,0,0.0
0.004216666666666666,9947.0,958.0,52.0,0.0,992.07407407408,1.0350877192982457,0,0.0
0.004599999999999999,9941.0,953.0,57.0,0.0,991.4074074074139,1.05,0,0.0
0.004983333333333332,9937.0,951.0,60.0,0.0,990.9629629629698,1.0615384615384615,0,0.0
0.005366666666666666,9931.0,946.0,65.0,0.0,990.2962962963036,1.0555555555555556,0,0.0
0.00575,9924.0,940.0,72.0,0.0,989.8518518518595,1.0512820512820513,0,0.0
0.0061333333333333335,9918.0,934.0,78.0,0.0,989.4814814814894,1.0609756097560976,0,0.0
0.006516666666666667,9913.0,930.0,82.0,0.0,988.9629629629712,1.0674157303370786,0,0.0
0.006900000000000001,9905.0,923.0,89.0,0.0,988.5185185185271,1.065217391304348,0,0.0
0.007283333333333334,9902.0,921.0,92.0,0.0,987.6296296296389,1.0625,0,0.0
0.007666666666666668,9898.0,917.0,96.0,0.0,987.2592592592688,1.0588235294117647,0,0.0
0.008050000000000002,9892.0,911.0,102.0,0.0,986.7407407407507,1.0566037735849056,0,0.0
0.008433333333333336,9888.0,910.0,106.0,0.0,985.4814814814923,1.0636363636363637,0,0.0
0.008816666666666669,9883.0,906.0,110.0,0.0,985.1111111111222,1.0619469026548674,0,0.0
0.009200000000000003,9880.0,904.0,113.0,0.0,984.370370370382,1.0608695652173914,0,0.0
0.009583333333333336,9878.0,902.0,115.0,0.0,983.6296296296418,1.065040650406504,0,0.0
0.00996666666666667,9869.0,896.0,123.0,0.0,982.8148148148276,1.072,0,0.0
0.010350000000000003,9866.0,896.0,125.0,0.0,982.1481481481615,1.0687022900763359,0,0.0
0.010733333333333338,9860.0,891.0,131.0,0.0,981.5555555555693,1.072992700729927,0,0.0
0.01111666666666667,9853.0,887.0,137.0,0.0,980.518518518533,1.070921985815603,0,0.0
0.011500000000000005,9849.0,883.0,141.0,0.0,979.4814814814968,1.070921985815603,0,0.0
0.011883333333333338,9849.0,884.0,141.0,0.0,978.8148148148306,1.080536912751678,0,0.0
0.012266666666666672,9839.0,876.0,149.0,0.0,978.2222222222384,1.0784313725490196,0,0.0
0.012650000000000005,9835.0,874.0,153.0,0.0,977.7037037037203,1.0903225806451613,0,0.0
0.01303333333333334,9831.0,872.0,155.0,0.0,977.0370370370541,1.0955414012738853,0,0.0
0.013416666666666672,9828.0,872.0,157.0,0.0,976.444444444462,1.0925925925925926,0,0.0
0.013800000000000007,9823.0,867.0,162.0,0.0,975.6296296296478,1.0909090909090908,0,0.0
0.014183333333333341,9820.0,864.0,165.0,0.0,975.1851851852036,1.0952380952380953,0,0.0
0.014566666666666674,9816.0,861.0,168.0,0.0,974.5185185185375,1.0930232558139534,0,0.0
0.014950000000000008,9812.0,857.0,172.0,0.0,973.9259259259453,1.092485549132948,0,0.0
0.015333333333333341,9811.0,856.0,173.0,0.0,973.4074074074272,1.0898876404494382,0,0.0
0.015716666666666674,9806.0,851.0,178.0,0.0,972.888888888909,1.1,0,0.0
0.01610000000000001,9802.0,850.0,180.0,0.0,972.2962962963169,1.1104972375690607,0,0.0
0.016483333333333343,9799.0,849.0,181.0,0.0,971.9259259259468,1.1092896174863387,0,0.0
0.01686666666666668,9797.0,848.0,183.0,0.0,971.4814814815027,1.1122994652406417,0,0.0
0.01725000000000001,9792.0,844.0,187.0,0.0,971.1851851852066,1.1210526315789473,0,0.0
0.017633333333333345,9787.0,841.0,190.0,0.0,970.8148148148365,1.1269035532994924,0,0.0
0.018016666666666677,9778.0,836.0,197.0,0.0,970.0740740740963,1.1213592233009708,0,0.0
